Session ID	Name	Based On	Primary Areas	Secondary Areas	Time Limit	Total Time	Papers
1A	Embodied Interfaces and Sensory Extensions	Body and Motion	Accessible interfaces for musical expression; Sensor and actuator technologies, including haptics and force feedback devices	Explorations of relationships between motion, gesture and music	90	81	5
1B	Cultural Echoes in Digital Fabrication	Entangled NIME	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	90	85	5
2A	AI and Machine Musicianship	Machine Learning and Co-Creativity	Machine learning in musical performance	Performance rendering and generative algorithms	90	85	5
2B	Sonic Art in Public Spaces	Interactive sound art and installations	Interactive sound art and installations	Discussions about the artistic, cultural, and social impact of NIME technology	90	90	6
3A	Gesture and Motion in Musical Interaction	Body and Motion	Explorations of relationships between motion, gesture and music	Sensor and actuator technologies, including haptics and force feedback devices	60	51	3
3B	Historical Perspectives on Musical Interfaces	Historical and Cultural Reflections	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces		60	51	3
4A	Technologies for Collaborative Creativity		Technologies or systems for collaborative music-making	Software frameworks, interface protocols, and data formats, for supporting musical interaction	90	90	6
4B	Robotic Systems and Autonomous Musicians		Musical applications of robotics	Machine learning in musical performance	90	86	6
5A	Virtual Realities in Musical Expression	NIMEs in the Metaverse and VR	Extended reality environments: augmented, virtual, mixed reality	Evaluation and user studies of new interfaces for musical expression	90	90	6
5B	Innovative Pedagogies in Music Technology		Pedagogical perspectives or reports on student projects in the framework of NIME	Practice-based research approaches/methodologies/criticism	90	85	5
7A	Accessibility and Inclusive Music Making	Co- and Participatory Design for Accessible Instruments	Accessible interfaces for musical expression	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	60	51	3
7B	Evolving Interfaces: Augmentation and Hybridity	Embracing Resistance and Failure	Augmented, embedded and hyper instruments	Novel controllers, interfaces or instruments for musical expression	60	56	4
8A	Community-Driven Soundscapes and Installations	Entangled NIME	Interactive sound art and installations	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	90	83	6
8B	Critical Approaches to NIME Evaluation		Evaluation and user studies of new interfaces for musical expression	Practice-based research approaches/methodologies/criticism	90	88	6
9A	Cross-Cultural Instruments and Digital Futures	Feminist Technoscience and Cross-Cultural NIMEs	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	Novel controllers, interfaces or instruments for musical expression	90	86	6
9B	Dynamic Systems and Generative Soundscapes	Designing and Performing with AI	Performance rendering and generative algorithms	Machine learning in musical performance	90	86	6
