Paper ID	Title	Primary Area	Length (min)	Session ID	Session Name
83	Software as Instrument: COMDASUAR and the Co-Design of Code and Hardware	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	17	1A	Embodied Interfaces and Sensory Extensions
239	Techniques for Closely-Coupled Sensing and Actuation in Digital Musical Instruments	Sensor and actuator technologies, including haptics and force feedback devices	17	1A	Embodied Interfaces and Sensory Extensions
71	Audionce: An Audiovisual Improvisation Environment Co-Designed by Deaf and Hearing Designers	Accessible interfaces for musical expression	17	1A	Embodied Interfaces and Sensory Extensions
454	Sustained Interests: Lorentz Time Division Multiplexing (LTDM) for Active Collocated String Control	Sensor and actuator technologies, including haptics and force feedback devices	17	1A	Embodied Interfaces and Sensory Extensions
159	PerFormer: An AI-driven Approach to Melody Generation in Microtonal Persian Music	Machine learning in musical performance	13	1A	Embodied Interfaces and Sensory Extensions
102	Immanent Practice: Accounts of Optical Sound Filmmaking	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	1B	Cultural Echoes in Digital Fabrication
399	Designing a Spatial Vibrotactile Interface for Accessible Spatial Audio Mixing by Blind and Visually Impaired Music Producers.	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	1B	Cultural Echoes in Digital Fabrication
176	Performing Performance Spaces: Amplifying Context in Live Music	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	1B	Cultural Echoes in Digital Fabrication
203	Interactive Fan Dance: Towards a Community-Informed, Culturally Situated Interactive Dance Instrument	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	1B	Cultural Echoes in Digital Fabrication
205	Interviews with Practitioners Shaping Internet-Based Collaborative Music-Making	NIME 2026 theme: Communities. Topic 1: interviews with, reports on, or collaborations with artists/makers outside the NIME academic community	17	1B	Cultural Echoes in Digital Fabrication
191	[Anonymous Name]: Adapting Neural Audio Autoencoders as Design Materials in NIME	Software frameworks, interface protocols, and data formats, for supporting musical interaction	17	2A	AI and Machine Musicianship
86	Opening the Design Space: Two Years of Performance with Intelligent Musical Instruments	Machine learning in musical performance	17	2A	AI and Machine Musicianship
376	Tuneable Machine Learning in Musical Instruments: A Duoethnography	Machine learning in musical performance	17	2A	AI and Machine Musicianship
432	Distributed Agency in Collaborative Improvisation with Intelligent Instruments: A Phenomenological Inquiry	Machine learning in musical performance	17	2A	AI and Machine Musicianship
163	OTIAC: Co-Improvising With a Musical Agent in a Feedback-Based Guitar Performance	Machine learning in musical performance	17	2A	AI and Machine Musicianship
210	On Values, Technological Mediation, and the Artifacts they Create	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	17	2B	Sonic Art in Public Spaces
78	Sonic Interactions as Situated Urban Practice with [Project Name Omitted for Review]	Practice-based research approaches/methodologies/criticism	17	2B	Sonic Art in Public Spaces
438	A Community Moving with Air in the Immersive Sound Installation [NAME OF THE INSTALLATION]	Interactive sound art and installations	17	2B	Sonic Art in Public Spaces
212	Cultural Timbre as Unvoiced Knowing: An Audiovisual Spectral Synthesizer That Transforms Chinese Musical Instruments	Interactive sound art and installations	13	2B	Sonic Art in Public Spaces
435	Immersive Open Studio: Shared Space, Shared Sound	Interactive sound art and installations	13	2B	Sonic Art in Public Spaces
10	Considerations Towards Outdoor Impact Mitigation of Site-Related NIME Practice	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	13	2B	Sonic Art in Public Spaces
51	Encypher: Embodied Steering of Music Transformers for Live Dance Improvisation	Explorations of relationships between motion, gesture and music	17	3A	Gesture and Motion in Musical Interaction
52	Exploring Breathing-Music Coupling: Using the Breathing Mirror for Somatic Reflection in Piano Performance	Explorations of relationships between motion, gesture and music	17	3A	Gesture and Motion in Musical Interaction
209	Manubrio: Probing Musical Instrument Embodiment Through a New Interface for Musical Expression	Explorations of relationships between motion, gesture and music	17	3A	Gesture and Motion in Musical Interaction
90	Cultural Inertia and Technical Concretisation: A Systematic Review of Keyboard Interfaces at NIME	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	17	3B	Historical Perspectives on Musical Interfaces
34	What NIME talks about when it talks about touch	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	17	3B	Historical Perspectives on Musical Interfaces
119	Communal invention in Prehistoric NIMEs: a case study of Hugh Le Caine’s Electronic Sackbut (1945-1955)	Historical, theoretical, critical, or philosophical discussions about designing or performing with new interfaces	17	3B	Historical Perspectives on Musical Interfaces
245	Designing Strategic Incongruity: An Audio Device for Sharpening Pencils	Practice-based research approaches/methodologies/criticism	17	4A	Technologies for Collaborative Creativity
425	Performing with the inclusive machine: An interdisciplinary roadmap for the design of AI collaborative musical instruments	Practice-based research approaches/methodologies/criticism	17	4A	Technologies for Collaborative Creativity
404	Mezcal: A Collaborative Transmission Art Instrument	Novel controllers, interfaces or instruments for musical expression	17	4A	Technologies for Collaborative Creativity
112	Knotty Oscillator: Breaking knot topology for a new physically-inspired sound generator	Novel controllers, interfaces or instruments for musical expression	13	4A	Technologies for Collaborative Creativity
